elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
lin,40,1.1311494892404876,5,80,1,15
tanh,40,1.1251099314894113,5,80,1,15
rbf_l2,40,1.139674149812938,5,80,1,15
lin,60,1.1016544184741688,5,80,1,15
tanh,60,1.1037437282019165,5,80,1,15
rbf_l2,60,1.1174786083756179,5,80,1,15
lin,80,1.0820323247884074,5,80,1,15
tanh,80,1.0944856803760323,5,80,1,15
rbf_l2,80,1.0859054461339037,5,80,1,15
lin,120,1.091197861477872,5,80,1,15
tanh,120,1.0707050357363752,5,80,1,15
rbf_l2,120,1.0647102917844016,5,80,1,15
lin,140,1.0885991570342113,5,80,1,15
tanh,140,1.0487310195536563,5,80,1,15
rbf_l2,140,1.051369926426253,5,80,1,15
lin,160,1.086060456626829,5,80,1,15
tanh,160,1.0424864952642432,5,80,1,15
rbf_l2,160,1.0521834941706323,5,80,1,15
lin,40,1.1359570081294446,5,80,3,15
tanh,40,1.1378103326147357,5,80,3,15
rbf_l2,40,1.1370301529152442,5,80,3,15
lin,60,1.0987692813081522,5,80,3,15
tanh,60,1.1009490438631535,5,80,3,15
rbf_l2,60,1.1014927325906605,5,80,3,15
lin,80,1.0889364865581783,5,80,3,15
tanh,80,1.0851499638427053,5,80,3,15
rbf_l2,80,1.0882634972929495,5,80,3,15
lin,120,1.0929952192331993,5,80,3,15
tanh,120,1.059942771539425,5,80,3,15
rbf_l2,120,1.0603720419063836,5,80,3,15
lin,140,1.0842010111532718,5,80,3,15
tanh,140,1.049322752947132,5,80,3,15
rbf_l2,140,1.0467090379833468,5,80,3,15
lin,160,1.0921813656611532,5,80,3,15
tanh,160,1.0431516553607316,5,80,3,15
rbf_l2,160,1.0430317449682602,5,80,3,15
lin,40,1.1358543379157169,5,80,5,15
tanh,40,1.1233628003904115,5,80,5,15
rbf_l2,40,1.1335995850687692,5,80,5,15
lin,60,1.102586991955545,5,80,5,15
tanh,60,1.1133987457305452,5,80,5,15
rbf_l2,60,1.1241245560655162,5,80,5,15
lin,80,1.0818120843317705,5,80,5,15
