svr__C,svr__epsilon,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
1.0,0.025,linear,char,"(4, 12)",rmstop_clean_stem,-1.5743525491636285,0.03994953784684229,36,2.628788650035858
1.0,0.025,linear,char,"(6, 8)",rmstop_clean_stem,-1.5883493893775191,0.03868550253012694,49,1.0468342900276184
1.0,0.025,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5795428796555777,0.01826721654223707,39,1.2811080813407898
1.0,0.025,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5955732855933893,0.021923712114504206,56,1.4335713982582092
1.0,0.025,rbf,char,"(4, 12)",rmstop_clean_stem,-1.7107841911256279,0.04162921206109345,130,2.6131471395492554
1.0,0.025,rbf,char,"(6, 8)",rmstop_clean_stem,-1.7004131855418034,0.03932463884797946,120,1.0140124559402466
1.0,0.025,poly,char,"(1, 5)",rmstop_clean_stem,-1.8095357895963828,0.05057507428950657,142,1.2978289127349854
1.0,0.025,poly,char,"(2, 6)",rmstop_clean_stem,-1.9520507421881739,0.06355588846320047,186,1.3944851160049438
1.0,0.025,poly,char,"(4, 12)",rmstop_clean_stem,-2.0693951308092733,0.06382640609726767,240,2.5810548067092896
1.0,0.025,poly,char,"(6, 8)",rmstop_clean_stem,-2.0464495651404166,0.06484878585338666,229,1.0622125267982483
1.0,0.05,linear,char,"(1, 5)",rmstop_clean_stem,-1.538905175833582,0.03857625412811229,9,1.3194395303726196
1.0,0.05,linear,char,"(2, 6)",rmstop_clean_stem,-1.5392925843030505,0.04119071250350478,10,1.3612498044967651
1.0,0.05,linear,char,"(4, 12)",rmstop_clean_stem,-1.5735291022205642,0.039767376367329584,35,2.511600434780121
1.0,0.05,linear,char,"(6, 8)",rmstop_clean_stem,-1.5875712838474205,0.03868916467257135,48,1.0467164516448975
1.0,0.05,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5797560979633074,0.018044503148015385,40,1.3457875847816467
1.0,0.05,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5960728101111072,0.02174958733817863,57,1.3593333959579468
1.0,0.05,rbf,char,"(4, 12)",rmstop_clean_stem,-1.710449482720326,0.0414606852361212,129,2.5935972929000854
1.0,0.05,rbf,char,"(6, 8)",rmstop_clean_stem,-1.700125210188885,0.0390539472182725,119,0.9811835289001465
