svr__C,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
1.0,sigmoid,char,"(4, 12)",rmstop_clean_stem,-1.1021574111095314,0.027988476126441106,37,7.974512219429016
1.0,sigmoid,char,"(4, 16)",<lambda>,-1.1127583274757393,0.0322039177099649,57,13.843077540397644
1.0,sigmoid,char,"(4, 16)",rmstop_clean_stem,-1.1053725790046174,0.02806688278872867,43,11.135501086711884
1.0,sigmoid,char,"(6, 8)",<lambda>,-1.1197165937962397,0.03183360079320632,72,3.7263365983963013
1.0,sigmoid,char,"(6, 8)",rmstop_clean_stem,-1.1168738666655647,0.024606344280678573,62,3.1627102494239807
1.0,sigmoid,char,"(6, 12)",<lambda>,-1.1364627755823933,0.03481682768867536,112,7.740552306175232
1.0,sigmoid,char,"(6, 12)",rmstop_clean_stem,-1.1360798686242142,0.02881503993132691,110,6.44051468372345
1.0,sigmoid,char,"(6, 12)",<lambda>,-1.1364627755823933,0.03481682768867536,112,7.976020395755768
1.0,sigmoid,char,"(6, 12)",rmstop_clean_stem,-1.1360798686242142,0.02881503993132691,110,6.663795709609985
1.0,sigmoid,char,"(6, 16)",<lambda>,-1.1469371543207656,0.03399137773864044,129,12.418681919574738
1.0,sigmoid,char,"(6, 16)",rmstop_clean_stem,-1.143655077054613,0.02804547026143369,125,9.774352312088013
1.0,sigmoid,char,"(8, 8)",<lambda>,-1.1605196292658162,0.03752600058666194,151,1.7423909902572632
1.0,sigmoid,char,"(8, 8)",rmstop_clean_stem,-1.1746121601108976,0.030113394960574726,171,1.6058606505393982
1.0,sigmoid,char,"(8, 12)",<lambda>,-1.1927712159064852,0.035189307393440374,203,5.836810886859894
1.0,sigmoid,char,"(8, 12)",rmstop_clean_stem,-1.2000411550970806,0.03152363625783773,221,4.887347459793091
1.0,sigmoid,char,"(8, 12)",<lambda>,-1.1927712159064852,0.035189307393440374,203,6.034358441829681
1.0,sigmoid,char,"(8, 12)",rmstop_clean_stem,-1.2000411550970806,0.03152363625783773,221,5.046387732028961
1.0,sigmoid,char,"(8, 16)",<lambda>,-1.2144709093454717,0.03854537056623584,249,10.28252923488617
1.0,sigmoid,char,"(8, 16)",rmstop_clean_stem,-1.2139803765610975,0.0311043271506423,245,8.379545509815216
1.0,sigmoid,char_wb,"(2, 4)",<lambda>,-1.0947925978785218,0.029349889118159663,28,3.198209047317505
